Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
HK651665,047XX S INDIANA AVE,GAME/DICE,SIDEWALK,True,2004,41.809,-87.621
HL578494,050XX W SUPERIOR ST,GAME/DICE,SIDEWALK,True,2005,41.894,-87.752
HW472859,062XX S MAPLEWOOD AVE,GAME/DICE,SIDEWALK,True,2013,41.781,-87.687
HN483135,099XX S LUELLA AVE,GAME/DICE,SIDEWALK,True,2007,41.714,-87.568
HZ329146,015XX S KOMENSKY AVE,GAME/DICE,STREET,True,2016,41.860,-87.726
HP401388,029XX W FLOURNOY ST,GAME/DICE,SIDEWALK,True,2008,41.873,-87.699
G249594,049XX W HUBBARD ST,GAME/DICE,PARK PROPERTY,True,2001,41.889,-87.750
HH591246,056XX S HERMITAGE AVE,GAME/DICE,SIDEWALK,True,2002,41.791,-87.668
HN360244,022XX S WENTWORTH AVE,GAME/CARDS,OTHER,True,2007,41.852,-87.632
HL362212,064XX S ELLIS AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2005,41.778,-87.600
HP295501,069XX S GREEN ST,GAME/DICE,SIDEWALK,True,2008,41.768,-87.646
HH421258,018XX N MAYFIELD AVE,GAME/DICE,SIDEWALK,True,2002,41.913,-87.773
HS259695,007XX S KARLOV AVE,GAME/DICE,SIDEWALK,True,2010,41.871,-87.728
HL651308,059XX S EMERALD AVE,GAME/DICE,SIDEWALK,True,2005,41.787,-87.644
G569612,007XX N CICERO AV,GAME/DICE,SIDEWALK,True,2001,41.893,-87.746
HK629735,057XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,PARK PROPERTY,True,2004,41.791,-87.616
G359164,007XX N WALLER AV,GAME/DICE,SIDEWALK,True,2001,41.894,-87.768
G315412,112XX S ABERDEEN ST,GAME/DICE,STREET,True,2001,41.690,-87.649
HN242875,0000X E ROOSEVELT RD,OTHER,CTA PLATFORM,True,2007,41.867,-87.626
HP464036,049XX N MARINE DR,GAME/DICE,PARK PROPERTY,True,2008,41.973,-87.651
HM434551,013XX S AVERS AVE,GAME/DICE,SIDEWALK,True,2006,41.864,-87.721
HL575496,061XX S MAY ST,GAME/DICE,STREET,True,2005,41.782,-87.653
HJ706442,072XX S PERRY AVE,GAME/DICE,SIDEWALK,True,2003,41.763,-87.628
G400307,084XX S VINCENNES AV,GAME/CARDS,OTHER,True,2001,41.740,-87.639
HY465641,020XX W 68TH PL,GAME/DICE,ABANDONED BUILDING,True,2015,41.769,-87.675
HL456096,028XX E 76TH ST,GAME/DICE,OTHER,True,2005,41.758,-87.556
HT442245,055XX S WABASH AVE,GAME/DICE,SIDEWALK,True,2011,41.794,-87.624
HR396897,002XX N KEELER AVE,GAME/DICE,SIDEWALK,True,2009,41.884,-87.731
HL713754,031XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,POOL ROOM,True,2005,41.968,-87.707
HM699869,109XX S RACINE AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2006,41.695,-87.652
HJ577164,060XX S WOLCOTT AVE,GAME/DICE,SIDEWALK,True,2003,41.784,-87.672
HP423648,010XX N TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2008,41.900,-87.713
HW234510,024XX W JACKSON BLVD,GAME/DICE,ABANDONED BUILDING,True,2013,41.878,-87.687
HP514740,081XX S WOODLAWN AVE,GAME/DICE,SIDEWALK,True,2008,41.746,-87.595
HP339682,046XX W MONROE ST,GAME/DICE,SIDEWALK,True,2008,41.879,-87.741
HM113667,061XX S KIMBARK AVE,GAME/DICE,RESIDENCE,True,2006,41.783,-87.595
HM517312,083XX S CARPENTER ST,GAME/DICE,STREET,True,2006,41.743,-87.650
HM688031,076XX S KINGSTON AVE,GAME/DICE,SIDEWALK,True,2006,41.757,-87.563
G410631,050XX S STATE ST,GAME/DICE,STREET,True,2001,41.803,-87.626
HR407736,050XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,SIDEWALK,True,2009,41.803,-87.616
HH370636,064XX S COTTAGE GROVE AVE,ILLEGAL ILL LOTTERY,STREET,True,2002,41.778,-87.606
